RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
535,15567832,Shih,550,France,Female,40,7,114354.953125,1,True,False,54018.9296875,False
7346,15567834,Nieves,719,France,Male,49,5,105918.1015625,1,True,True,16246.58984375,False
7192,15567839,Gordon,501,France,Male,42,9,114631.2265625,1,False,True,91429.7421875,False
8929,15567855,Chukwufumnanya,623,France,Female,29,1,0.0,2,False,False,39382.05859375,False
7283,15567860,Burrows,581,Spain,Female,44,7,189318.15625,2,True,False,45026.23046875,True
6645,15567893,Lei,556,Germany,Male,33,3,124213.359375,2,True,False,62627.55078125,False
8444,15567897,Chiazagomekpere,619,Germany,Male,23,5,132725.09375,1,True,True,143913.328125,False
7573,15567919,Lazarev,586,Germany,Male,37,8,167735.6875,2,False,True,104665.7890625,False
9201,15567923,Barese,739,France,Female,30,6,0.0,1,False,False,122604.4375,False
2450,15567980,Frater,537,Germany,Female,46,5,100727.5,1,False,True,140857.765625,True
5882,15567991,Obiuto,794,Spain,Male,31,0,144880.34375,2,False,True,175643.4375,False
1711,15567993,Palmer,828,Spain,Male,28,8,134766.84375,1,True,False,79355.8671875,False
4512,15568006,Ukaegbunam,634,France,Female,45,2,0.0,4,True,False,101039.53125,True
2447,15568025,Hsueh,758,France,Male,51,8,81710.4609375,1,True,True,116520.0703125,False
8174,15568032,Moore,757,Germany,Male,31,1,127320.359375,3,True,False,163170.3125,False
3354,15568044,Butusov,508,France,Female,31,7,0.0,2,True,True,6123.14990234375,False
4683,15568046,Izuchukwu,809,France,Male,24,7,109558.359375,1,True,False,183515.125,False
6814,15568088,Jamieson,481,Germany,Male,44,3,163714.515625,1,True,False,96123.71875,False
5677,15568104,Zubarev,749,France,Female,26,6,0.0,2,False,True,34948.76953125,False
1554,15568106,L?,592,France,Female,38,8,119278.0078125,2,False,True,19370.73046875,False
3495,15568120,Lacross,681,France,Female,37,7,69609.8515625,1,True,True,72127.828125,False
7066,15568162,Sung,527,Spain,Male,53,8,0.0,1,True,True,51711.5703125,False
8465,15568164,Istomin,850,France,Female,34,4,71379.53125,2,True,True,154000.984375,False
5098,15568238,Diaz,650,Spain,Male,20,8,0.0,2,True,True,113469.6484375,False
383,15568240,Ting,492,Germany,Female,30,10,77168.8671875,2,False,True,146700.21875,False
9181,15568326,Kenenna,637,France,Female,44,2,0.0,2,True,False,149665.65625,False
3883,15568328,Black,488,France,Female,22,6,0.0,2,True,True,66393.890625,False
1526,15568360,Rolon,569,Spain,Female,41,4,139840.359375,1,True,True,163524.703125,False
4435,15568429,Mitchell,633,Spain,Female,46,3,0.0,2,True,False,120250.578125,False
6754,15568449,Fu,661,Spain,Male,38,7,143006.703125,1,True,True,15650.8896484375,False
7304,15568469,Buckley,653,France,Male,43,0,0.0,2,True,False,27862.580078125,False
5493,15568487,Gorshkov,712,France,Male,35,7,124616.2265625,1,True,True,69320.96875,False
511,15568506,Forbes,524,Germany,Female,31,10,67238.9765625,2,True,True,161811.234375,False
8338,15568519,Wood,534,France,Male,41,9,0.0,2,True,False,13871.33984375,False
6289,15568562,Moss,689,France,Male,40,8,160272.265625,1,True,False,49656.23828125,False
3732,15568573,Graham,554,Germany,Female,51,7,105701.90625,1,False,True,179797.796875,True
659,15568595,Fleming,544,France,Male,64,9,113829.453125,1,True,True,124341.4921875,False
6368,15568742,Parkes,536,France,Female,41,9,0.0,1,True,False,121299.140625,False
225,15568748,Poole,671,Germany,Male,45,6,99564.21875,1,True,True,108872.453125,True
7591,15568819,Chiganu,619,Germany,Female,42,8,132796.046875,3,True,True,191821.34375,True
6025,15568834,Howells,698,Spain,Male,27,6,125427.3671875,2,False,False,27654.439453125,False
9159,15568849,Bryan,540,Spain,Female,31,10,118158.7421875,1,True,True,158027.5625,False
9915,15568876,Hughes,496,France,Female,34,1,102723.3515625,2,True,False,180844.8125,False
7352,15568878,Cheng,654,Spain,Male,34,5,0.0,2,True,False,159311.453125,False
5741,15568885,Scott,620,Germany,Female,34,8,102251.5703125,1,True,False,120672.09375,False
7808,15568904,Kruglova,608,Germany,Male,34,3,106288.5390625,1,True,True,36639.25,False
3845,15568915,Bailey,681,France,Male,38,6,153722.46875,1,True,False,101319.7578125,False
3771,15568953,Alexeieva,477,France,Male,27,1,128554.9765625,1,True,True,133173.1875,False
1749,15568963,Naquin,674,Germany,Male,34,2,152797.90625,1,True,False,175709.40625,True
20,15568982,Hao,726,France,Female,24,6,0.0,2,True,True,54724.03125,False
1009,15569050,Farrell,444,France,Male,45,6,0.0,1,True,False,130009.8515625,True
4034,15569079,Hagins,632,Germany,Male,48,6,126066.2578125,1,True,False,64345.609375,True
4152,15569098,Winifred,627,France,Male,44,6,153548.125,1,False,False,35300.078125,True
4983,15569120,Lucas,615,France,Male,30,7,0.0,2,True,True,156346.84375,False
1679,15569178,Kharlamov,570,France,Female,18,4,82767.421875,1,True,False,71811.8984375,False
1949,15569187,Fleming,680,Spain,Male,35,9,0.0,2,False,False,143774.0625,False
1841,15569209,Amaechi,464,Spain,Female,34,5,76001.5703125,1,True,True,158668.875,False
2311,15569222,Mendes,781,France,Male,32,6,147107.90625,1,True,True,40066.94921875,False
1140,15569247,Mitchell,727,Spain,Female,57,1,109679.71875,1,False,True,753.3699951171875,False
3521,15569248,Milanesi,554,France,Female,43,10,0.0,2,True,False,149629.125,True
6965,15569249,Howarth,576,France,Female,55,6,44582.0703125,3,False,True,67539.8515625,True
5324,15569264,Yobanna,622,France,Male,32,5,179305.09375,1,True,True,149043.78125,False
9994,15569266,Rahman,644,France,Male,28,7,155060.40625,1,True,False,29179.51953125,False
4885,15569274,Pisano,678,Germany,Male,49,2,116933.109375,1,True,False,195053.578125,True
4450,15569364,Victor,666,France,Male,36,3,0.0,2,True,False,35156.5390625,False
7653,15569394,Bailey,704,France,Male,24,2,148197.15625,2,True,False,182775.078125,False
1751,15569410,Tang,601,Germany,Female,33,7,114430.1796875,2,True,True,153012.125,False
1650,15569423,Cunningham,731,Spain,Male,41,4,0.0,2,True,False,22299.26953125,False
8295,15569430,Burrows,704,Spain,Female,36,2,175509.796875,2,True,False,152039.671875,False
6775,15569432,Macleod,656,France,Female,48,9,0.0,2,True,True,85240.609375,True
4181,15569438,Mai,607,Germany,Male,36,10,106702.9375,2,False,False,198313.6875,False
4246,15569446,Tu,732,France,Female,34,8,122338.4296875,2,True,False,187985.84375,False
1204,15569451,Miller,463,France,Male,35,2,101257.15625,1,True,True,118113.640625,False
9187,15569452,Butler,652,Germany,Female,58,3,116353.203125,2,False,True,193502.90625,False
2065,15569503,Yeh,765,France,Male,44,6,0.0,2,True,True,159899.96875,False
9765,15569526,Morales,601,France,Male,40,10,98627.1328125,2,False,False,77977.6875,False
2540,15569571,Davydova,584,Germany,Female,46,6,87361.0234375,2,True,False,120376.8671875,True
3643,15569572,Sopuluchi,778,France,Male,42,6,0.0,2,True,True,106197.4375,False
55,15569590,Yoo,601,Germany,Male,42,1,98495.71875,1,True,False,40014.76171875,True
7596,15569595,Walker,678,France,Female,50,6,0.0,1,True,False,8199.5,False
9052,15569624,Feng,671,Germany,Female,31,6,105864.6015625,2,True,False,145567.34375,False
8246,15569626,Miller,577,Spain,Male,35,5,110080.296875,1,True,True,109794.3125,False
3157,15569641,Sung,692,Germany,Female,41,8,130701.2890625,1,True,False,59354.23828125,True
6201,15569654,Munro,850,Germany,Female,31,3,51293.46875,1,False,False,35534.6796875,False
5848,15569666,Goddard,517,France,Female,45,4,0.0,1,False,False,172674.359375,True
4931,15569670,Alexeyeva,627,Germany,Male,30,6,112372.9609375,1,True,True,118029.09375,False
2162,15569678,Cocci,561,Germany,Male,32,6,166824.59375,1,True,False,139451.984375,False
7465,15569682,Leckie,768,Germany,Male,37,9,108308.109375,1,True,False,41788.25,True
5901,15569759,Rawling,583,France,Female,27,4,0.0,3,True,False,163113.40625,False
5654,15569764,Garner,687,Germany,Female,41,2,154007.203125,1,True,False,158408.234375,False
646,15569807,Ejimofor,673,France,Female,34,8,42157.078125,1,True,False,20598.58984375,True
7871,15569867,Chinweuba,529,France,Female,29,8,0.0,2,True,False,19842.109375,False
5517,15569878,Dale,592,France,Male,37,3,96651.03125,1,True,True,3232.820068359375,False
9997,15569892,Johnstone,516,France,Male,35,10,57369.609375,1,True,True,101699.7734375,False
7555,15569917,Obijiaku,706,Spain,Male,30,6,87609.6796875,2,False,False,137674.546875,True
5847,15569945,Horsley,509,Spain,Male,29,1,0.0,2,True,False,69113.140625,False
8578,15569976,Woronoff,754,Germany,Male,65,1,136186.4375,1,True,True,121529.59375,True
8924,15570002,Burlingame,625,Germany,Female,55,8,118772.7109375,4,False,False,135853.625,True
2392,15570004,Tsou,850,France,Male,31,3,0.0,2,True,False,121866.8671875,False
4394,15570051,Gill,775,Germany,Female,38,6,179886.40625,2,False,False,153122.578125,False
977,15570060,Palerma,586,France,Female,43,8,132558.265625,1,True,False,67046.828125,True
9546,15570073,Marian,721,Spain,Male,57,1,0.0,1,True,True,195940.953125,False
7723,15570086,Lynch,684,Germany,Male,18,9,90544.0,1,False,True,4777.22998046875,False
4530,15570087,Parry-Okeden,664,France,Female,44,8,142989.6875,1,True,True,115452.5078125,True
799,15570134,Padovano,683,France,Female,35,6,187530.65625,2,True,True,37976.359375,False
8205,15570141,P'eng,724,France,Female,34,3,132352.6875,1,True,False,80320.296875,False
9700,15570145,Long,763,France,Female,23,2,0.0,2,True,False,153983.984375,False
8993,15570192,Henry,608,Germany,Female,40,8,121729.421875,1,False,False,61164.44921875,False
8827,15570194,Ikemefuna,412,France,Male,29,5,0.0,2,False,False,12510.5302734375,False
1687,15570205,Tao,682,Spain,Male,36,5,0.0,2,True,True,147758.515625,False
9017,15570271,Wan,577,Spain,Male,31,6,0.0,1,True,True,196395.25,False
8727,15570289,Benson,697,Germany,Male,43,8,103409.15625,1,True,False,66893.28125,True
7792,15570299,Martin,584,Germany,Female,31,6,152622.34375,1,True,False,99298.796875,False
1181,15570326,Wilkins,621,France,Male,34,6,0.0,2,True,True,99128.1328125,False
3429,15570360,Wan,641,France,Female,35,4,0.0,2,False,False,125986.1796875,False
5839,15570379,Whitelegge,669,Spain,Male,51,3,88827.53125,1,False,False,85250.7734375,True
6356,15570414,Chizoba,618,Spain,Male,41,4,115251.640625,1,False,False,136435.75,False
1044,15570417,Chien,579,France,Male,35,1,0.0,2,True,False,4460.2001953125,False
8818,15570485,Udegbunam,558,Spain,Male,40,4,161766.875,1,False,False,92378.5390625,False
7327,15570508,Azubuike,600,France,Male,49,7,90218.8984375,1,True,False,91347.7578125,False
9601,15570533,Conti,621,Germany,Female,55,7,131033.7578125,1,False,True,75685.59375,True
1856,15570601,Cheng,785,France,Female,47,9,122031.546875,1,True,True,33823.5,True
3383,15570629,Alexeyeva,655,Germany,Female,72,5,138089.96875,2,True,True,99920.40625,False
9210,15570681,Chiang,560,France,Male,24,1,116084.3203125,1,True,False,89734.703125,False
2909,15570769,Kibble,494,France,Male,69,9,93320.796875,1,True,True,24489.439453125,False
2273,15570835,Fallaci,491,Germany,Female,57,4,112044.71875,1,True,True,41229.73046875,True
8262,15570855,Leonard,670,France,Male,38,7,0.0,2,True,True,77864.40625,False
8560,15570857,Kambinachi,677,Germany,Female,39,0,111213.640625,2,True,True,147578.265625,False
1992,15570859,Froggatt,626,Germany,Male,36,2,181671.15625,2,True,True,57531.140625,False
6251,15570895,Ch'in,608,France,Male,42,10,163548.0625,1,True,False,38866.8515625,False
8741,15570908,Harding,687,Spain,Female,29,7,93617.0703125,1,False,True,113050.921875,False
6785,15570912,Ogbonnaya,728,Germany,Female,32,9,127772.1015625,2,True,True,152643.484375,False
7910,15570931,Grant,620,France,Male,61,5,0.0,1,False,False,31641.51953125,True
3070,15570932,Pirozzi,666,France,Male,43,7,137780.734375,2,True,True,119100.046875,True
2882,15570943,Artemyeva,711,Germany,Female,35,2,133607.75,1,True,True,120586.3203125,False
7358,15570947,Bruny,615,Spain,Female,29,7,143330.5625,2,True,True,126396.0078125,False
6933,15570970,Han,647,France,Female,42,9,0.0,2,True,True,51362.8203125,False
7208,15570990,Begley,520,Spain,Female,30,4,145222.984375,2,False,False,145160.953125,False
956,15571002,Yusupov,706,France,Female,44,4,129605.9921875,1,False,False,69865.4921875,False
3086,15571059,Martin,734,France,Female,54,3,0.0,1,True,False,130805.5390625,True
9393,15571065,Lehr,532,Spain,Female,39,0,0.0,2,True,False,94977.296875,False
7261,15571081,Hansen,773,France,Female,41,7,190238.9375,1,True,True,57549.6484375,False
7005,15571121,Kodilinyechukwu,670,France,Female,50,8,138340.0625,1,False,True,3159.14990234375,False
6104,15571144,Ives,655,France,Male,28,10,0.0,2,False,True,126565.2109375,False
2489,15571148,Baranov,645,Spain,Female,21,1,0.0,2,False,False,28726.0703125,False
5963,15571193,Morrison,579,Germany,Male,42,0,144386.3125,1,True,True,22497.099609375,True
785,15571221,Bergamaschi,747,Germany,Male,58,7,116313.5703125,1,True,True,190696.34375,True
4907,15571244,Tung,809,Spain,Female,33,3,0.0,2,False,True,141426.78125,False
4421,15571261,Toscani,714,Germany,Female,35,6,126077.4296875,2,True,True,53954.23828125,False
9506,15571281,Ts'ao,651,France,Male,28,10,79562.9765625,1,True,True,74687.3671875,False
7278,15571284,Elmore,756,Germany,Male,32,0,109528.15625,2,True,True,56176.30859375,False
3379,15571302,Estep,529,Germany,Male,72,5,94216.046875,1,True,True,78695.6796875,False
2064,15571305,Stephenson,588,Germany,Female,35,1,103060.6328125,1,True,False,179866.015625,True
7085,15571415,Okwudiliolisa,805,Germany,Male,56,6,151802.296875,1,True,False,46791.08984375,True
5744,15571476,Kelly,635,Spain,Male,38,0,103257.140625,1,False,False,158344.625,False
9477,15571529,Kirby,650,Germany,Female,48,7,138232.234375,1,True,False,57594.78125,False
1639,15571550,Dore,699,France,Male,39,9,0.0,1,True,False,80963.921875,False
7607,15571571,Ting,680,Germany,Female,31,3,127331.4609375,3,True,True,176433.59375,False
9452,15571586,Briggs,524,Spain,Male,29,3,159035.453125,1,True,False,2705.31005859375,True
4602,15571666,Shaw,642,Germany,Male,30,8,134497.265625,1,False,False,43250.5390625,False
3636,15571689,Kelechi,740,France,Female,37,5,0.0,2,True,True,27528.400390625,False
1380,15571752,Romani,668,Germany,Female,32,10,92041.8671875,1,True,True,43595.8984375,False
9789,15571756,Ohearn,724,France,Female,28,5,0.0,1,True,False,59351.6796875,False
1460,15571778,Trentini,817,France,Female,55,10,117561.4921875,1,True,False,95941.546875,True
560,15571816,Ritchie,850,Spain,Female,70,5,0.0,1,True,True,705.1799926757812,False
8142,15571843,Lawrence,486,Spain,Male,24,1,0.0,1,True,False,98802.7578125,False
6520,15571869,Lei,669,Germany,Female,50,4,112650.890625,1,False,False,166386.21875,True
8026,15571873,Sung,655,France,Male,24,9,107065.3125,1,True,True,51959.8203125,False
9294,15571917,Eluemuno,771,Germany,Female,38,5,137657.703125,2,True,False,72985.609375,False
882,15571928,Fraser,679,France,Female,43,4,0.0,3,True,False,115136.5078125,True
7743,15571940,Afamefula,579,Spain,Male,22,3,118680.5703125,1,True,True,49829.80078125,False
3589,15571958,McIntosh,489,Spain,Male,40,3,221532.796875,1,True,False,171867.078125,False
724,15571973,Chinwemma,776,France,Female,38,2,169824.453125,1,True,False,169291.703125,False
6242,15571995,Harper,775,Germany,Female,33,1,118897.1015625,2,True,True,26362.400390625,False
9741,15572021,Ts'ao,798,Germany,Female,29,8,80204.109375,2,True,False,70223.21875,False
8141,15572022,Han,605,France,Female,36,6,0.0,1,False,True,690.8400268554688,False
5713,15572038,Chijindum,660,Germany,Male,35,9,113948.578125,1,True,False,188891.953125,True
8164,15572050,Yefimov,768,Germany,Male,48,3,122831.578125,1,True,True,24533.890625,True
5119,15572051,Kennedy,721,France,Male,40,3,0.0,1,True,True,144874.671875,False
9330,15572073,Yao,663,Spain,Male,35,5,0.0,2,True,True,62634.94140625,False
1685,15572093,Han,613,France,Female,24,7,140453.90625,1,True,False,129001.296875,False
9755,15572114,Shih,673,Spain,Male,40,1,121629.21875,1,True,True,3258.60009765625,False
4214,15572145,Ashton,767,France,Female,34,8,0.0,2,True,False,94767.7734375,False
4969,15572158,Blackburn,604,Spain,Male,41,3,0.0,1,False,False,11819.83984375,False
8244,15572174,Mazzi,825,France,Male,29,3,148874.015625,2,False,True,71192.8203125,False
9878,15572182,Onwuamaeze,505,Germany,Female,33,3,106506.7734375,3,True,False,45445.78125,True
851,15572265,Wu,646,Germany,Male,46,1,170826.546875,2,True,False,45041.3203125,False
3349,15572291,Kao,825,France,Male,40,6,132308.21875,1,False,False,117122.5,False
8947,15572294,Kelly,623,France,Male,28,7,0.0,1,False,False,129526.5703125,False
8788,15572356,Tsai,689,Spain,Male,73,1,108555.0703125,1,False,True,167969.15625,False
1299,15572360,Clark,683,France,Male,30,10,57657.48828125,1,False,False,79240.8984375,False
7641,15572361,Chill,790,Germany,Female,34,2,164011.484375,1,True,False,199420.40625,False
9706,15572374,Hopetoun,733,Spain,Male,36,1,0.0,2,False,True,108377.8203125,False
7112,15572390,Huang,850,Spain,Female,39,6,0.0,2,True,False,103921.4296875,False
5556,15572398,Townsend,614,Spain,Female,39,6,0.0,2,True,True,164018.984375,False
6190,15572408,Chambers,714,Germany,Male,39,3,149887.484375,2,True,False,63846.359375,False
8207,15572415,Preston,580,France,Male,34,6,0.0,2,True,True,160095.3125,False
8969,15572428,Rieke,717,Germany,Female,33,0,115777.2265625,1,True,True,81508.1015625,False
2445,15572461,Kung,663,Germany,Female,29,4,102714.6484375,2,False,False,21170.810546875,False
1831,15572467,Chandler,506,France,Male,37,5,0.0,2,True,True,127543.8125,False
4400,15572547,Vaguine,670,France,Female,45,9,104930.3828125,1,True,False,155921.8125,True
3683,15572626,Mackenzie,620,Spain,Male,44,8,0.0,2,True,True,15627.509765625,False
8286,15572631,Ndubuisi,609,France,Male,25,10,0.0,1,False,True,109895.15625,False
5073,15572657,H?,472,France,Male,29,8,102490.2734375,1,False,True,181224.5625,False
7919,15572706,Smith,589,France,Male,37,5,0.0,1,True,False,61324.87109375,False
5052,15572728,Ross,704,Spain,Male,36,8,127397.34375,1,True,False,151335.234375,False
6546,15572735,Chang,433,Spain,Male,27,2,0.0,2,True,True,153698.65625,False
4660,15572762,Matveyeva,410,Germany,Female,50,2,102278.7890625,2,True,False,89822.4765625,False
9539,15572767,Shelby,777,France,Male,29,2,0.0,2,True,False,124489.8828125,False
8149,15572777,Meng,780,Spain,Male,47,7,86006.2109375,1,True,True,37973.12890625,False
3755,15572792,Bellucci,535,Spain,Male,35,8,118989.921875,1,True,True,135536.71875,False
5674,15572801,Krischock,639,Spain,Male,34,5,139393.1875,2,False,False,33950.078125,False
5316,15572956,Steen,683,France,Male,36,5,115350.6328125,1,True,True,122305.90625,False
8038,15573045,Earl,547,France,Male,62,10,127738.75,2,True,True,85153.0,False
7382,15573077,Nwora,620,Germany,Female,25,8,141825.875,1,True,True,73857.9375,True
1008,15573086,Millar,564,France,Male,42,7,99824.453125,1,True,True,36721.3984375,False
287,15573112,Kang,602,Spain,Male,29,5,103907.28125,1,True,False,161229.84375,False
213,15573152,Glassman,620,France,Female,41,9,0.0,2,False,False,88852.46875,False
5656,15573171,Liao,695,Spain,Male,63,1,146202.9375,1,True,True,126688.828125,True
2587,15573242,Greene,691,France,Male,50,6,136953.46875,1,True,True,2704.97998046875,False
4976,15573278,Kennedy,743,France,Male,39,6,0.0,2,True,False,44265.28125,False
2762,15573280,Gallagher,646,Germany,Male,50,6,145295.3125,2,True,True,27814.740234375,False
5768,15573284,Olisanugo,579,France,Female,45,2,0.0,2,False,False,11514.3896484375,False
2074,15573309,Ward,626,Spain,Female,48,2,0.0,2,True,True,95794.9765625,False
528,15573318,Kung,610,France,Male,26,8,0.0,2,True,False,166031.078125,False
3629,15573319,Azubuike,493,Germany,Female,35,8,178317.59375,1,False,False,197428.640625,False
6479,15573348,Maclean,850,France,Male,35,9,102050.46875,1,True,True,3769.7099609375,False
2931,15573452,Manning,663,Germany,Male,42,7,115930.8671875,1,True,False,19862.779296875,False
393,15573456,Cunningham,648,Spain,Male,46,9,127209.0,2,True,False,77405.953125,True
7183,15573520,Rhodes,692,Germany,Male,49,6,110540.4296875,2,False,True,107472.9921875,False
3601,15573599,Adamson,506,France,Female,57,6,0.0,2,False,True,194421.125,True
5824,15573628,Greene,751,Germany,Female,51,7,148074.796875,1,True,False,146411.40625,True
8655,15573730,Thompson,586,Germany,Male,42,6,126704.4921875,2,True,False,41682.30078125,False
1853,15573741,Aliyeva,698,Spain,Male,38,10,95010.921875,1,True,True,105227.859375,False
1195,15573769,Fiorentini,764,France,Female,24,7,0.0,2,True,False,186105.984375,False
7473,15573798,Yermolayev,448,France,Female,36,6,83947.1171875,2,True,False,81999.53125,False
5391,15573851,Macrossan,735,France,Female,38,1,0.0,3,False,False,92220.1171875,True
9280,15573854,Chukwujekwu,727,France,Male,62,5,0.0,2,False,True,38652.9609375,False
2199,15573876,Chia,473,Spain,Male,48,8,0.0,2,True,False,71139.796875,False
4871,15573888,Ponomaryov,648,Germany,Female,43,1,107963.3828125,1,False,False,186438.859375,True
1827,15573893,Barry,569,Germany,Male,25,9,173459.453125,2,True,True,44381.05859375,False
3257,15573926,Lung,735,Spain,Male,38,7,86131.7109375,2,False,False,93478.9609375,False
4878,15573971,Mills,737,France,Male,44,7,0.0,2,False,False,57898.578125,False
1376,15574004,Mancini,429,France,Female,27,6,117307.4375,2,True,True,24020.490234375,False
